Date,ABEV3.SA,B3SA3.SA,BBAS3.SA,BRFS3.SA,CMIG4.SA,CRFB3.SA,CSNA3.SA,ITUB4.SA,KLBN11.SA,LREN3.SA,MRFG3.SA,PETR3.SA,PETR4.SA,RAPT4.SA,VALE3.SA
2023-08-04,13.8485,14.1072,21.2724,10.2255,7.6416,11.8,11.1329,24.553,19.4175,16.9422,6.8423,25.4659,23.0213,11.7155,56.0415
2023-08-07,13.8203,14.0304,21.2365,10.0363,7.5412,11.8983,11.0898,24.3593,19.4708,16.4068,6.8935,25.6363,23.1671,11.5462,56.3236
2023-08-08,13.6508,13.8962,21.0884,9.8073,7.5349,11.8492,10.9778,24.3065,19.1536,16.5364,6.7656,25.6208,23.1901,11.4052,55.9586
2023-08-09,13.5379,13.714,20.9718,9.6181,7.6165,11.5837,10.8486,24.2184,18.8198,15.8024,6.6463,25.9152,23.3743,11.3958,55.4526
2023-08-10,13.5284,13.6852,21.0795,9.7874,7.6416,11.7213,10.7796,24.2977,18.8114,16.1651,6.7145,25.9074,23.5048,11.2642,54.7973
2023-08-11,13.519,13.6181,21.3083,9.9068,7.7733,11.6033,10.7365,24.3417,18.9116,15.9837,6.7316,25.9229,23.4511,11.6403,54.341
2023-08-14,13.4908,13.5317,21.0974,9.8073,7.7545,11.0527,10.5901,23.9894,19.1035,15.172,6.5782,26.0468,23.5125,11.6873,52.8956
2023-08-15,13.3684,13.4454,20.9852,10.4843,7.5036,11.1313,10.5211,23.8573,18.8615,15.0598,6.5441,25.9926,23.6813,11.8471,52.3743
2023-08-16,13.3496,13.244,21.1647,10.2553,7.5098,11.0723,10.4694,23.8397,18.8615,15.1029,6.4844,26.7594,24.2031,11.9223,52.1692
2023-08-17,13.3872,12.8796,21.3622,10.0064,7.5349,11.0723,10.3746,23.5579,18.7864,14.7748,6.2544,26.558,24.1264,11.6403,52.9041
2023-08-18,13.519,13.1002,21.4475,10.1558,7.5349,11.6525,10.5297,23.7428,18.7614,14.9907,6.2986,26.7129,24.1877,11.5838,52.3145
2023-08-21,13.472,12.9276,21.3712,9.8869,7.6604,11.1707,10.478,23.646,18.6612,14.7748,6.0844,26.4496,24.0189,11.4146,52.3828
2023-08-22,13.5755,13.292,21.8349,9.9068,7.6855,11.0625,10.547,24.0158,18.7781,14.8352,5.973,26.8498,24.3848,11.8189,53.4767
2023-08-23,13.6038,13.6181,21.9305,9.6778,7.6667,10.856,10.5642,24.3153,18.7948,15.0338,5.8787,28.3806,25.6833,12.054,53.8697
