Date,ASIANPAINT.NS,BHARTIARTL.NS,BPCL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,KOTAKBANK.NS,LT.NS,MARUTI.NS,RELIANCE.NS,SBIN.NS,TCS.NS,TITAN.NS
2023-07-13,3354.3672,876.1207,170.2878,1618.9919,2599.5925,932.1008,1325.017,449.959,1866.1163,2387.5964,9468.1777,1257.1713,575.9908,3260.7351,3074.6892
2023-07-14,3385.1616,877.5561,170.2878,1622.3462,2621.3315,936.3434,1384.0802,450.817,1865.4177,2409.1323,9425.0947,1256.1172,574.7615,3430.6753,3045.5845
2023-07-17,3415.4128,869.2408,171.2749,1656.2827,2626.032,944.7798,1381.1682,450.2927,1893.4141,2405.7708,9509.3975,1281.7831,591.186,3408.2737,3023.5564
2023-07-18,3467.7734,866.6176,170.0186,1654.9016,2627.1094,951.3631,1431.884,450.4356,1887.2258,2411.52,9485.9424,1292.6681,582.5803,3413.3008,2986.6772
2023-07-19,3468.9578,861.965,172.5311,1662.3992,2616.1418,949.4125,1431.6412,456.4891,1902.9457,2430.4731,9428.9209,1302.4762,591.5303,3387.1411,2985.8796
2023-07-20,3480.1602,875.9227,174.0566,1666.0,2647.1345,971.0156,1406.9388,469.1681,1953.1493,2426.137,9590.8047,1300.8989,599.9884,3389.343,2979.5505
2023-07-21,3471.968,877.0611,175.2679,1653.1752,2549.9448,972.381,1292.5006,467.5475,1966.4238,2520.2222,9588.4004,1260.6282,604.9551,3296.3718,2966.593
2023-07-24,3497.6299,879.1895,174.7744,1655.7894,2526.688,967.5045,1297.3538,449.3394,1893.6136,2538.7368,9514.5498,1235.1301,607.4631,3322.2566,2969.4834
2023-07-25,3356.1931,874.7349,173.3611,1673.7443,2514.8391,970.1378,1295.4125,440.712,1871.9053,2495.519,9577.1621,1234.3357,599.5458,3326.563,3019.1211
2023-07-26,3329.1492,880.4269,173.7201,1667.9237,2529.6746,971.8446,1309.244,450.1974,1891.6675,2578.6902,9574.9551,1254.3965,605.0043,3315.9446,2998.5386
2023-07-27,3325.5959,886.1188,170.1532,1650.6102,2516.5039,965.7977,1313.4178,443.3336,1870.1587,2592.2837,9572.2559,1242.7274,606.3812,3324.3608,2992.3088
2023-07-28,3346.6191,886.0693,167.551,1621.3596,2530.9475,971.6008,1301.1393,446.5748,1873.2527,2581.906,9490.5039,1255.2158,605.8894,3283.7471,2977.2581
2023-07-31,3333.4429,880.9218,169.3681,1628.9558,2507.6416,973.6489,1315.8928,443.9532,1852.9917,2612.8943,9638.1572,1265.842,609.971,3348.3867,2994.2524
