Date,ALFA.ST,ASSA-B.ST,ATCO-A.ST,AXFO.ST,CAST.ST,ERIC-B.ST,HM-B.ST,KINV-B.ST,LIAB.ST,NWG.ST,SAAB-B.ST,SAND.ST,SWED-A.ST,TEL2-B.ST,VOLV-B.ST
2023-08-11,377.6507,239.3205,141.6243,246.052,118.1,49.0656,157.4838,126.65,154.7864,141.2197,137.9814,200.7073,168.2664,69.5619,212.8805
2023-08-14,376.8635,239.8073,141.3311,246.6146,117.55,49.3782,157.9925,126.0,152.0945,140.0558,137.7337,201.5854,166.6838,69.5979,212.9745
2023-08-15,374.2068,237.7627,139.5717,244.6454,116.7,49.2679,157.4273,124.8,152.5752,139.0859,137.8328,198.8534,164.6307,69.0937,211.2346
2023-08-16,375.8795,237.9574,140.1582,245.4894,117.15,48.4403,159.6693,124.35,152.2868,138.698,137.3871,199.5364,165.9567,69.2197,212.9275
2023-08-17,364.6622,232.9918,137.4215,245.6769,113.95,49.0564,157.9172,122.5,146.6145,143.1596,136.1489,196.4141,165.1012,69.3638,211.2816
2023-08-18,361.8087,232.7971,137.1283,242.6763,111.35,49.4702,155.2984,125.95,147.1913,142.1897,135.8022,197.4874,164.203,69.1297,210.1531
2023-08-21,358.3647,231.9208,138.1545,242.7701,108.65,49.1575,153.6593,123.3,144.4994,142.9656,138.1795,195.9262,163.4759,68.3554,209.4477
2023-08-22,360.4311,236.3022,140.4514,242.8638,111.2,49.8104,154.281,124.55,145.4608,144.5174,137.2385,198.6583,162.8343,68.3194,210.3882
2023-08-23,360.6279,236.3996,140.6958,241.8323,113.25,49.7644,151.5304,126.8,147.2874,143.9355,140.4082,198.6583,162.4066,68.8776,209.3066
2023-08-24,359.9391,235.2312,142.2107,242.7701,114.3,49.5713,148.0638,125.6,145.1723,143.7415,139.9129,196.9019,162.7915,67.9592,204.6982
2023-08-25,363.7766,233.6734,142.4551,243.9891,113.7,49.7828,150.6261,123.65,144.4994,145.4874,140.3587,196.5116,163.2193,68.1933,204.8393
2023-08-28,368.0077,237.4706,144.0189,246.5208,116.0,50.2701,151.9072,123.95,146.5183,145.4874,143.1322,200.1219,165.4862,68.8776,208.7423
